At1,At2,Class
-1.97,-0.674,b'1.0'
-0.012,1.42,b'-1.0'
0.748,-0.558,b'1.0'
-1.45,-0.203,b'1.0'
0.199,-0.86,b'-1.0'
-1.68,-0.51,b'1.0'
0.56,0.491,b'-1.0'
0.216,-1.12,b'-1.0'
-0.232,-0.843,b'1.0'
1.66,1.42,b'1.0'
0.301,2.01,b'-1.0'
1.33,0.825,b'-1.0'
1.18,0.08,b'-1.0'
-1.59,0.138,b'-1.0'
1.78,-0.508,b'-1.0'
1.37,-1.52,b'1.0'
0.802,0.431,b'1.0'
0.913,-0.318,b'1.0'
0.00564,-1.14,b'-1.0'
-1.08,1.31,b'-1.0'
0.379,1.37,b'-1.0'
-0.106,-0.933,b'-1.0'
0.854,-0.827,b'1.0'
-1.47,-0.212,b'1.0'
1.24,-1.33,b'1.0'
-0.314,-0.984,b'-1.0'
-0.474,-0.911,b'-1.0'
0.659,-0.057,b'1.0'
1.83,0.349,b'-1.0'
1.51,-1.15,b'1.0'
-0.237,-1.4,b'-1.0'
0.016,-1.13,b'-1.0'
0.26,1.91,b'-1.0'
-0.104,-1.09,b'-1.0'
-0.724,-1.48,b'-1.0'
1.24,-0.145,b'-1.0'
-0.776,-1.26,b'-1.0'
1.16,0.0489,b'-1.0'
1.05,-2.08,b'1.0'
0.143,1.05,b'-1.0'
-1.42,-1.51,b'1.0'
1.21,0.642,b'-1.0'
0.551,1.48,b'-1.0'
0.191,1.72,b'-1.0'
0.345,-0.891,b'-1.0'
-0.396,-1.38,b'-1.0'
-1.59,-0.766,b'1.0'
0.903,-1.17,b'1.0'
1.57,-0.0908,b'-1.0'
1.18,0.913,b'-1.0'
-0.323,-0.264,b'1.0'
-0.302,-1.22,b'-1.0'
-1.26,-0.296,b'1.0'
0.874,-1.41,b'1.0'
-0.885,1.05,b'-1.0'
-1.52,-0.74,b'1.0'
-0.716,-0.194,b'1.0'
-0.579,-0.397,b'1.0'
-1.52,0.388,b'-1.0'
1.57,-0.566,b'-1.0'
-0.702,-1.2,b'-1.0'
-0.366,-0.882,b'-1.0'
1.45,-1.78,b'1.0'
-1.22,0.831,b'-1.0'
1.39,-1.11,b'1.0'
0.969,0.921,b'-1.0'
0.659,1.07,b'-1.0'
-0.238,0.126,b'1.0'
-0.576,-0.463,b'1.0'
0.171,-0.886,b'-1.0'
0.893,0.345,b'-1.0'
-1.49,0.885,b'-1.0'
0.258,0.309,b'1.0'
-0.609,-0.917,b'-1.0'
1.05,0.651,b'-1.0'
-0.827,-0.506,b'1.0'
0.374,-1.39,b'-1.0'
-0.784,0.969,b'-1.0'
1.08,1.42,b'1.0'
0.146,-0.151,b'1.0'
-1.93,0.603,b'-1.0'
-0.734,-1.09,b'-1.0'
-1.19,-0.529,b'1.0'
0.0176,0.0932,b'1.0'
1.72,-0.448,b'-1.0'
1.37,0.625,b'-1.0'
1.3,0.186,b'-1.0'
-0.0618,0.358,b'1.0'
-0.929,-1.39,b'-1.0'
1.14,-0.0771,b'-1.0'
-0.85,-0.92,b'-1.0'
-1.78,-1.49,b'1.0'
-1.86,-0.977,b'1.0'
-0.699,-0.000578,b'1.0'
-0.995,-1.39,b'-1.0'
-0.233,0.593,b'1.0'
-0.415,1.48,b'-1.0'
-1.66,-0.792,b'1.0'
-0.152,-0.669,b'-1.0'
-0.673,0.313,b'1.0'
-1.24,-0.72,b'1.0'
0.73,-0.37,b'-1.0'
-1.25,0.104,b'1.0'
1.85,1.38,b'1.0'
0.134,-0.922,b'-1.0'
0.546,-0.195,b'1.0'
0.604,1.03,b'-1.0'
-1.13,-1.08,b'1.0'
-1.13,0.193,b'1.0'
-1.62,1.02,b'-1.0'
-1.07,-1.11,b'1.0'
-0.443,1.86,b'-1.0'
0.0438,0.536,b'1.0'
-0.262,-1.2,b'-1.0'
0.156,0.152,b'1.0'
-0.311,0.995,b'1.0'
0.639,1.2,b'-1.0'
-1.42,-0.36,b'1.0'
-1.43,0.707,b'-1.0'
1.52,-1.34,b'1.0'
-1.91,-2.24,b'1.0'
0.132,2.0,b'-1.0'
2.06,1.12,b'1.0'
0.512,-1.34,b'-1.0'
-0.138,-0.951,b'-1.0'
1.15,0.824,b'-1.0'
0.233,-1.29,b'-1.0'
-0.124,-1.27,b'-1.0'
0.0584,-0.638,b'1.0'
0.486,0.245,b'1.0'
-0.0227,0.163,b'1.0'
1.15,1.16,b'1.0'
0.834,1.24,b'-1.0'
-2.03,-1.65,b'1.0'
0.0205,1.23,b'-1.0'
0.522,1.36,b'1.0'
-0.801,-0.24,b'1.0'
-0.178,-0.238,b'1.0'
1.16,1.05,b'-1.0'
-1.94,-1.03,b'1.0'
1.45,0.273,b'-1.0'
-1.07,1.16,b'-1.0'
0.413,-1.3,b'-1.0'
1.32,0.0928,b'-1.0'
0.322,1.68,b'1.0'
-0.292,-1.32,b'-1.0'
0.206,1.19,b'-1.0'
-0.639,-1.37,b'-1.0'
0.407,1.67,b'1.0'
0.144,1.56,b'-1.0'
-1.58,0.588,b'-1.0'
-1.58,0.807,b'-1.0'
0.683,-0.0347,b'1.0'
-0.668,-1.13,b'-1.0'
-2.05,-1.4,b'1.0'
-0.679,-0.0957,b'1.0'
-0.924,1.45,b'-1.0'
-0.547,-1.31,b'-1.0'
0.0296,1.2,b'-1.0'
2.23,0.895,b'1.0'
-0.56,-1.41,b'-1.0'
-0.558,-1.67,b'-1.0'
0.0598,-1.26,b'-1.0'
0.51,-1.15,b'-1.0'
-0.122,-0.0671,b'1.0'
-0.502,-1.04,b'-1.0'
1.41,-0.808,b'1.0'
-0.68,0.314,b'1.0'
-0.347,0.574,b'1.0'
-0.155,1.29,b'-1.0'
1.18,0.0819,b'-1.0'
1.8,-1.0,b'-1.0'
-0.653,-0.734,b'-1.0'
1.3,0.648,b'-1.0'
0.265,-0.182,b'1.0'
0.896,0.36,b'1.0'
-0.945,-1.43,b'-1.0'
-1.26,-1.01,b'1.0'
-1.65,-0.723,b'1.0'
-0.103,-1.71,b'-1.0'
1.87,1.19,b'1.0'
0.839,-0.0819,b'1.0'
0.167,0.87,b'-1.0'
-0.917,-0.863,b'-1.0'
1.26,-0.912,b'1.0'
-0.786,-1.02,b'-1.0'
2.81,1.3,b'1.0'
0.725,-0.54,b'1.0'
-0.709,-0.262,b'1.0'
0.56,-1.05,b'-1.0'
-1.0,0.078,b'1.0'
1.18,-0.0513,b'-1.0'
-1.29,0.891,b'-1.0'
0.126,-0.865,b'-1.0'
1.31,-0.238,b'-1.0'
1.62,-0.919,b'-1.0'
0.918,0.82,b'-1.0'
2.17,1.24,b'1.0'
0.433,0.38,b'1.0'
0.211,-1.28,b'-1.0'
1.18,-0.0335,b'-1.0'
-1.32,-0.403,b'1.0'
-0.0936,-1.28,b'-1.0'
-0.812,-0.411,b'1.0'
0.933,1.21,b'-1.0'
0.642,0.909,b'-1.0'
1.16,1.48,b'1.0'
-0.54,-0.601,b'1.0'
-1.48,-0.682,b'1.0'
1.41,-1.48,b'1.0'
-1.63,-1.16,b'1.0'
0.663,1.7,b'-1.0'
0.0329,1.88,b'-1.0'
-1.08,-0.0594,b'1.0'
0.981,-0.0572,b'-1.0'
-0.334,0.18,b'1.0'
-0.477,0.676,b'1.0'
1.12,-0.756,b'1.0'
1.36,0.482,b'-1.0'
0.123,-1.62,b'-1.0'
-0.259,0.996,b'-1.0'
-0.0662,-0.479,b'1.0'
-1.4,0.553,b'-1.0'
0.1,-1.48,b'-1.0'
1.37,0.428,b'-1.0'
-0.32,0.707,b'1.0'
1.76,1.33,b'1.0'
-0.254,0.403,b'1.0'
0.636,1.34,b'1.0'
-0.437,-0.984,b'-1.0'
-0.804,0.396,b'1.0'
0.685,2.2,b'-1.0'
1.89,0.834,b'1.0'
-0.615,-1.36,b'-1.0'
0.387,1.71,b'-1.0'
-0.238,-1.49,b'-1.0'
-1.03,-0.422,b'1.0'
0.656,0.844,b'-1.0'
0.713,2.04,b'1.0'
1.26,1.72,b'-1.0'
-0.745,0.987,b'-1.0'
-1.44,-0.358,b'1.0'
0.127,1.22,b'-1.0'
1.79,1.5,b'1.0'
-0.27,0.0117,b'1.0'
0.418,-1.12,b'-1.0'
2.17,1.45,b'1.0'
1.66,1.3,b'1.0'
2.12,1.1,b'1.0'
-0.252,0.623,b'1.0'
0.16,-1.4,b'-1.0'
1.27,0.301,b'-1.0'
-0.93,0.758,b'-1.0'
-0.966,0.487,b'1.0'
0.0236,-1.07,b'-1.0'
0.517,-0.931,b'-1.0'
-1.95,-0.9,b'1.0'
0.213,-0.752,b'-1.0'
-0.377,-0.973,b'-1.0'
0.395,0.423,b'1.0'
-0.76,-0.862,b'-1.0'
-0.947,0.445,b'1.0'
0.112,0.238,b'1.0'
1.24,0.342,b'-1.0'
-0.322,-0.356,b'1.0'
-1.15,0.587,b'-1.0'
0.923,0.246,b'-1.0'
-0.339,0.806,b'1.0'
-0.711,0.0759,b'1.0'
0.157,-0.934,b'-1.0'
0.235,-1.05,b'-1.0'
-0.111,-1.33,b'-1.0'
-0.651,0.369,b'1.0'
0.527,1.18,b'-1.0'
1.76,1.48,b'1.0'
0.0386,-1.26,b'-1.0'
0.584,-0.212,b'1.0'
-1.02,-1.01,b'-1.0'
-1.2,-0.248,b'1.0'
-0.824,0.858,b'-1.0'
0.191,1.94,b'-1.0'
-0.259,1.34,b'-1.0'
-1.22,1.12,b'-1.0'
1.11,0.57,b'-1.0'
0.073,-0.00169,b'1.0'
-0.0281,-0.323,b'1.0'
0.48,-1.15,b'-1.0'
0.0967,-1.4,b'-1.0'
0.375,1.24,b'-1.0'
-1.63,0.101,b'-1.0'
0.02,-1.54,b'-1.0'
0.592,1.15,b'-1.0'
0.0071,-0.924,b'-1.0'
0.784,0.972,b'-1.0'
1.33,0.335,b'-1.0'
-1.42,-0.0747,b'1.0'
-0.795,1.17,b'-1.0'
-0.0247,-1.5,b'-1.0'
0.904,1.04,b'-1.0'
0.237,0.0367,b'1.0'
0.604,-0.709,b'1.0'
-0.948,-0.982,b'-1.0'
0.686,-0.19,b'1.0'
1.2,-0.754,b'1.0'
-1.59,0.763,b'-1.0'
0.255,0.412,b'-1.0'
1.78,1.35,b'1.0'
-0.629,-0.118,b'1.0'
0.0428,-1.04,b'-1.0'
0.973,0.457,b'-1.0'
-0.639,1.28,b'-1.0'
1.23,-0.00847,b'-1.0'
2.64,0.966,b'1.0'
0.323,-0.796,b'1.0'
-1.12,-1.39,b'-1.0'
-1.14,0.693,b'-1.0'
0.0328,1.22,b'-1.0'
0.0496,-1.05,b'-1.0'
-2.11,-1.45,b'1.0'
-1.28,0.213,b'1.0'
-0.577,0.206,b'1.0'
2.71,1.35,b'1.0'
0.121,1.63,b'-1.0'
-0.0275,-1.42,b'-1.0'
-1.15,0.406,b'1.0'
-0.204,-1.54,b'-1.0'
-0.299,-1.14,b'-1.0'
0.216,1.96,b'1.0'
-0.567,-1.14,b'-1.0'
-0.236,-1.17,b'-1.0'
1.22,-0.0466,b'-1.0'
-0.852,-0.59,b'1.0'
-1.06,0.917,b'-1.0'
0.595,1.02,b'-1.0'
1.05,0.768,b'-1.0'
0.996,1.04,b'-1.0'
1.0,1.69,b'1.0'
0.799,0.995,b'-1.0'
0.725,1.39,b'-1.0'
0.782,1.8,b'-1.0'
1.93,1.34,b'1.0'
-0.791,-1.43,b'-1.0'
1.33,-0.486,b'1.0'
1.64,-0.605,b'-1.0'
1.13,0.33,b'-1.0'
-1.58,0.456,b'-1.0'
-0.0767,0.000168,b'1.0'
-1.87,-1.17,b'1.0'
-0.892,1.25,b'-1.0'
0.785,0.173,b'-1.0'
1.04,0.779,b'-1.0'
-0.693,0.953,b'-1.0'
0.682,-0.146,b'-1.0'
-0.167,1.07,b'-1.0'
-0.621,-1.12,b'-1.0'
0.133,-0.227,b'1.0'
0.871,1.29,b'-1.0'
-0.719,-0.384,b'1.0'
0.0379,-1.64,b'-1.0'
1.57,1.43,b'1.0'
0.314,1.84,b'-1.0'
1.68,-0.293,b'-1.0'
-0.656,-0.334,b'1.0'
0.551,0.921,b'-1.0'
-1.52,0.946,b'-1.0'
-0.156,-1.16,b'-1.0'
0.0652,-0.766,b'-1.0'
-1.15,0.771,b'-1.0'
1.07,-0.221,b'1.0'
0.535,1.4,b'-1.0'
-0.0692,1.73,b'1.0'
2.36,1.33,b'1.0'
-0.599,-0.965,b'-1.0'
-0.903,-0.0822,b'1.0'
-1.6,0.682,b'-1.0'
0.271,-0.0382,b'1.0'
0.838,0.603,b'-1.0'
1.34,-0.689,b'-1.0'
0.657,1.05,b'-1.0'
-1.52,0.506,b'-1.0'
-1.21,0.488,b'-1.0'
-0.112,1.85,b'1.0'
0.74,1.53,b'1.0'
0.451,-0.00833,b'1.0'
-1.6,0.632,b'-1.0'
-2.1,-0.859,b'1.0'
-1.37,0.645,b'-1.0'
0.52,1.25,b'-1.0'
-0.198,-0.536,b'1.0'
1.54,1.24,b'1.0'
-0.421,-0.731,b'-1.0'
1.1,0.253,b'-1.0'
0.734,-0.212,b'1.0'
-2.12,-0.575,b'1.0'
-0.0531,-1.26,b'-1.0'
0.835,-0.0137,b'-1.0'
1.1,0.604,b'-1.0'
-0.505,1.17,b'-1.0'
-0.524,-0.857,b'-1.0'
-1.89,-0.799,b'1.0'
-0.975,-0.182,b'1.0'
0.616,-1.07,b'1.0'
-0.362,-1.7,b'-1.0'
0.611,0.649,b'-1.0'
-1.41,-1.02,b'1.0'
-0.614,-1.43,b'-1.0'
-0.286,-0.571,b'1.0'
-0.697,-1.69,b'-1.0'
-0.859,0.885,b'-1.0'
0.526,1.36,b'1.0'
-0.251,0.846,b'1.0'
2.01,-0.695,b'-1.0'
-1.51,-0.593,b'1.0'
-0.155,-1.03,b'-1.0'
-1.8,0.529,b'-1.0'
-0.162,-0.0223,b'1.0'
-0.628,-0.267,b'1.0'
-0.746,-0.93,b'-1.0'
-0.61,0.00888,b'1.0'
-0.0339,-1.66,b'-1.0'
0.935,0.556,b'-1.0'
1.01,0.829,b'-1.0'
-2.77,0.0962,b'-1.0'
1.26,0.0903,b'-1.0'
-0.638,-1.01,b'-1.0'
0.552,0.961,b'-1.0'
-0.239,-0.848,b'-1.0'
0.275,-0.202,b'1.0'
-1.83,0.601,b'-1.0'
-0.507,1.24,b'-1.0'
0.908,-0.506,b'1.0'
1.16,0.703,b'-1.0'
-0.751,-1.37,b'-1.0'
-0.628,0.601,b'1.0'
-0.5,-0.0595,b'1.0'
-0.889,-0.884,b'-1.0'
-0.341,0.169,b'1.0'
0.0554,-0.139,b'1.0'
-0.455,-1.3,b'-1.0'
-0.116,0.0815,b'1.0'
-0.71,-0.874,b'1.0'
1.35,-0.25,b'-1.0'
1.51,1.59,b'1.0'
1.67,-0.978,b'-1.0'
-0.116,-1.36,b'-1.0'
-1.95,-0.16,b'1.0'
1.75,-1.03,b'-1.0'
2.36,1.5,b'1.0'
1.24,0.828,b'-1.0'
-0.526,1.19,b'-1.0'
-0.0866,-1.37,b'-1.0'
-1.46,-0.891,b'1.0'
0.637,0.00536,b'1.0'
0.384,-0.314,b'1.0'
0.431,0.266,b'-1.0'
1.35,0.644,b'-1.0'
-0.744,0.196,b'1.0'
-0.45,-1.59,b'-1.0'
1.31,1.07,b'-1.0'
-0.696,-1.2,b'-1.0'
0.553,-0.817,b'1.0'
-0.532,-0.179,b'1.0'
-0.861,-0.862,b'-1.0'
-1.25,-0.897,b'1.0'
-0.631,-0.914,b'-1.0'
0.524,-0.648,b'1.0'
0.791,1.69,b'1.0'
-0.501,1.1,b'-1.0'
0.768,-0.917,b'1.0'
1.29,1.07,b'-1.0'
1.24,0.00235,b'-1.0'
0.811,2.0,b'-1.0'
1.18,1.25,b'1.0'
0.32,-0.465,b'1.0'
-1.27,-0.704,b'1.0'
-0.869,1.38,b'-1.0'
-0.468,0.245,b'1.0'
1.44,-1.52,b'1.0'
-1.62,-1.16,b'1.0'
1.89,1.1,b'1.0'
0.284,2.31,b'-1.0'
0.0066,-0.994,b'-1.0'
-1.81,-0.643,b'1.0'
-1.19,-1.03,b'-1.0'
-0.747,0.468,b'1.0'
1.19,-0.966,b'1.0'
0.748,1.81,b'1.0'
0.225,1.34,b'-1.0'
0.899,0.538,b'-1.0'
0.904,0.195,b'-1.0'
-1.25,0.479,b'-1.0'
0.74,1.35,b'1.0'
-0.798,-1.21,b'-1.0'
0.371,-0.589,b'1.0'
1.11,0.0482,b'-1.0'
-0.27,-1.28,b'-1.0'
-0.369,-0.984,b'-1.0'
-0.752,-0.319,b'1.0'
-0.538,-1.15,b'-1.0'
-0.509,0.912,b'-1.0'
2.51,1.3,b'1.0'
0.137,1.69,b'-1.0'
-0.129,1.57,b'-1.0'
-1.55,-0.663,b'1.0'
0.818,0.845,b'-1.0'
-0.717,-1.03,b'-1.0'
0.0188,0.0512,b'1.0'
-0.71,0.465,b'1.0'
-1.43,-1.18,b'1.0'
-1.39,-0.282,b'1.0'
0.753,1.84,b'-1.0'
0.598,0.484,b'-1.0'
0.0256,0.228,b'1.0'
1.02,0.508,b'-1.0'
-1.32,1.12,b'-1.0'
-1.7,0.422,b'-1.0'
-0.037,-1.35,b'-1.0'
-1.01,-0.211,b'1.0'
-1.25,-1.1,b'-1.0'
1.5,0.637,b'-1.0'
-1.02,0.899,b'1.0'
-0.827,-0.757,b'-1.0'
1.54,-0.26,b'-1.0'
-0.0979,-1.01,b'-1.0'
-1.01,-1.29,b'-1.0'
-0.707,-0.378,b'1.0'
-0.878,-1.16,b'-1.0'
-1.34,0.717,b'-1.0'
2.21,1.21,b'1.0'
0.25,0.466,b'1.0'
2.34,1.13,b'1.0'
0.614,-0.157,b'1.0'
2.03,-0.427,b'-1.0'
-0.568,-1.36,b'-1.0'
-1.64,-1.27,b'1.0'
0.779,-0.815,b'1.0'
-0.707,-0.568,b'1.0'
-0.712,-1.1,b'-1.0'
1.62,0.0564,b'-1.0'
-1.01,0.412,b'1.0'
1.61,1.4,b'1.0'
-1.26,-0.503,b'1.0'
-0.845,-0.377,b'1.0'
1.31,-0.566,b'1.0'
-0.218,2.09,b'-1.0'
-0.68,-1.07,b'-1.0'
1.15,-1.56,b'1.0'
0.55,0.857,b'-1.0'
-0.43,-1.4,b'-1.0'
0.403,-0.997,b'-1.0'
-0.0017,0.282,b'1.0'
-0.617,-0.458,b'1.0'
0.143,-1.56,b'-1.0'
-0.221,0.12,b'1.0'
0.58,1.17,b'-1.0'
0.876,-0.969,b'1.0'
-0.0237,0.303,b'1.0'
0.0052,0.24,b'1.0'
0.904,0.97,b'-1.0'
-0.806,0.575,b'1.0'
0.423,-0.334,b'1.0'
1.08,1.36,b'1.0'
-0.639,1.25,b'-1.0'
-0.0782,-1.1,b'-1.0'
0.595,0.429,b'-1.0'
0.908,1.48,b'1.0'
0.355,0.562,b'1.0'
0.149,-0.295,b'1.0'
-1.94,-0.273,b'1.0'
0.222,0.214,b'1.0'
-1.44,-0.43,b'1.0'
0.265,-0.375,b'1.0'
-0.295,0.565,b'1.0'
-1.55,-1.02,b'1.0'
-0.93,-0.895,b'-1.0'
-1.18,0.422,b'1.0'
-0.203,-1.08,b'-1.0'
1.26,-0.328,b'1.0'
1.48,-1.05,b'1.0'
-0.499,-0.766,b'-1.0'
0.12,-1.12,b'-1.0'
-0.338,-0.91,b'-1.0'
0.909,0.522,b'-1.0'
0.395,0.0856,b'-1.0'
-0.7,-1.25,b'-1.0'
0.0828,-0.879,b'1.0'
-0.832,-1.33,b'-1.0'
-2.01,-1.85,b'1.0'
-1.55,0.695,b'-1.0'
-0.755,-1.09,b'-1.0'
-0.83,0.993,b'-1.0'
0.314,1.54,b'-1.0'
-1.44,-0.225,b'1.0'
0.287,1.45,b'1.0'
-0.278,-0.815,b'1.0'
1.46,-0.509,b'1.0'
0.496,1.52,b'-1.0'
1.81,-0.218,b'-1.0'
0.824,0.45,b'-1.0'
-2.56,-0.0784,b'-1.0'
-0.836,-0.507,b'1.0'
0.066,-1.23,b'-1.0'
-0.742,0.36,b'1.0'
1.31,0.328,b'-1.0'
1.35,1.21,b'1.0'
0.34,-1.03,b'-1.0'
-1.07,-0.616,b'1.0'
-0.634,1.65,b'-1.0'
1.95,-1.02,b'-1.0'
-0.0397,-1.09,b'-1.0'
1.04,-1.13,b'1.0'
-1.15,0.729,b'-1.0'
-0.528,0.953,b'1.0'
0.854,1.15,b'-1.0'
-1.04,1.04,b'-1.0'
-0.921,-1.19,b'-1.0'
-1.78,-1.58,b'1.0'
-0.0184,-1.13,b'-1.0'
-1.55,0.386,b'-1.0'
-0.539,-1.21,b'-1.0'
-0.455,0.494,b'1.0'
1.44,1.38,b'1.0'
-1.2,0.659,b'-1.0'
0.731,1.31,b'-1.0'
-1.39,-1.09,b'1.0'
-0.413,0.0554,b'1.0'
0.271,0.38,b'1.0'
-0.882,1.29,b'-1.0'
1.29,-1.04,b'1.0'
0.299,1.49,b'-1.0'
-0.754,1.1,b'-1.0'
-0.0601,2.04,b'1.0'
1.42,-0.697,b'1.0'
1.12,0.173,b'-1.0'
-0.783,-1.33,b'-1.0'
-1.55,-1.6,b'1.0'
-1.34,0.146,b'1.0'
-1.1,-1.17,b'-1.0'
0.101,-1.39,b'-1.0'
-0.484,-1.2,b'-1.0'
-0.984,1.03,b'-1.0'
-0.269,0.961,b'1.0'
-0.547,1.71,b'-1.0'
0.494,-1.01,b'-1.0'
-0.123,1.86,b'-1.0'
-0.0853,-1.12,b'-1.0'
1.41,0.607,b'-1.0'
1.27,-0.159,b'-1.0'
-0.0373,-1.32,b'-1.0'
0.433,1.65,b'1.0'
-1.03,-0.858,b'1.0'
0.69,0.745,b'-1.0'
0.354,1.06,b'-1.0'
-1.92,-1.06,b'1.0'
-0.541,-0.65,b'1.0'
1.38,-1.36,b'1.0'
1.29,0.525,b'-1.0'
-0.836,0.959,b'-1.0'
-0.247,0.775,b'1.0'
0.552,0.942,b'-1.0'
-0.19,0.168,b'1.0'
0.714,-1.19,b'1.0'
1.19,0.594,b'-1.0'
0.428,-1.43,b'-1.0'
-0.575,-1.62,b'-1.0'
-1.97,-1.72,b'1.0'
-0.0255,-1.3,b'-1.0'
-0.892,1.02,b'-1.0'
-0.132,-1.35,b'-1.0'
-1.85,0.545,b'-1.0'
-0.491,-0.429,b'1.0'
-0.158,0.358,b'1.0'
-0.475,-1.02,b'-1.0'
1.26,-2.39,b'1.0'
-0.807,0.992,b'-1.0'
1.19,0.115,b'-1.0'
0.439,1.5,b'-1.0'
1.44,-1.73,b'1.0'
0.109,1.65,b'1.0'
-0.596,-1.33,b'-1.0'
1.11,0.431,b'-1.0'
-0.347,-0.556,b'1.0'
1.47,1.39,b'1.0'
1.63,-0.56,b'-1.0'
-1.53,1.21,b'-1.0'
-1.12,1.1,b'-1.0'
0.0551,1.34,b'-1.0'
-0.388,-1.08,b'-1.0'
0.136,-1.36,b'-1.0'
-0.79,-0.823,b'-1.0'
0.646,1.82,b'1.0'
-0.468,-0.206,b'1.0'
0.735,0.571,b'-1.0'
-0.777,-1.33,b'-1.0'
-0.31,1.45,b'-1.0'
-0.0693,-1.3,b'-1.0'
-0.162,-0.334,b'1.0'
0.724,-0.574,b'1.0'
-1.03,0.153,b'1.0'
0.385,-0.744,b'-1.0'
1.23,-0.115,b'-1.0'
-1.49,0.796,b'-1.0'
0.0586,-0.133,b'1.0'
1.05,-0.362,b'1.0'
-0.84,-1.05,b'-1.0'
0.351,-1.42,b'-1.0'
-1.34,-0.462,b'1.0'
-0.213,0.77,b'1.0'
0.523,1.05,b'-1.0'
-0.665,1.23,b'-1.0'
1.03,1.55,b'1.0'
0.495,1.54,b'-1.0'
0.582,0.232,b'-1.0'
0.35,0.889,b'-1.0'
0.321,1.58,b'-1.0'
0.155,0.0373,b'1.0'
-0.783,0.931,b'-1.0'
0.153,-0.875,b'1.0'
1.08,0.925,b'-1.0'
0.614,0.908,b'-1.0'
-0.353,1.98,b'1.0'
0.0762,-1.27,b'-1.0'
0.282,-1.43,b'-1.0'
0.876,-0.807,b'1.0'
-0.685,0.459,b'1.0'
0.265,1.4,b'-1.0'
0.29,0.591,b'-1.0'
0.662,1.49,b'-1.0'
-0.689,-1.45,b'-1.0'
-0.214,-1.27,b'-1.0'
-0.119,-0.842,b'-1.0'
-1.84,-1.23,b'1.0'
-0.102,-0.306,b'1.0'
-0.995,-0.937,b'-1.0'
-0.479,0.0719,b'1.0'
-1.31,0.463,b'-1.0'
-0.486,-1.62,b'-1.0'
0.115,-0.443,b'1.0'
0.698,0.784,b'-1.0'
1.09,-1.24,b'1.0'
-1.57,-0.401,b'1.0'
-0.274,0.489,b'1.0'
0.764,1.98,b'1.0'
2.41,0.946,b'1.0'
-0.348,0.119,b'1.0'
1.27,-0.194,b'-1.0'
-0.22,-1.38,b'-1.0'
1.08,-1.83,b'1.0'
-0.414,-1.28,b'-1.0'
2.12,1.07,b'1.0'
0.22,2.08,b'-1.0'
0.207,-1.38,b'-1.0'
-0.519,-1.0,b'-1.0'
-0.00634,-1.0,b'-1.0'
-0.68,1.68,b'-1.0'
-1.18,-0.522,b'1.0'
0.32,0.282,b'1.0'
-0.638,1.32,b'-1.0'
0.72,-0.154,b'1.0'
0.92,-0.717,b'1.0'
0.511,-0.773,b'1.0'
-0.681,-0.586,b'1.0'
1.11,0.205,b'-1.0'
0.087,-1.28,b'-1.0'
1.13,-0.541,b'1.0'
-0.016,-1.26,b'-1.0'
-0.439,-0.884,b'1.0'
0.424,-0.84,b'-1.0'
2.25,-1.4,b'-1.0'
0.139,-0.803,b'1.0'
0.488,1.31,b'-1.0'
-1.04,1.27,b'-1.0'
1.33,-0.704,b'-1.0'
-1.23,0.89,b'-1.0'
-0.329,-0.955,b'-1.0'
0.174,-1.11,b'-1.0'
-0.699,0.755,b'-1.0'
-0.137,-1.16,b'-1.0'
1.09,-1.1,b'1.0'
-0.0172,-1.03,b'-1.0'
0.269,0.605,b'1.0'
0.305,1.63,b'1.0'
-1.82,0.904,b'-1.0'
-0.527,-1.38,b'-1.0'
0.557,-0.255,b'1.0'
-2.41,0.26,b'-1.0'
-0.514,-1.07,b'-1.0'
-0.325,-1.32,b'-1.0'
2.53,1.5,b'1.0'
0.471,2.03,b'-1.0'
0.986,0.843,b'-1.0'
0.746,0.441,b'-1.0'
-1.32,0.907,b'-1.0'
1.33,1.7,b'1.0'
1.59,-0.378,b'-1.0'
0.387,-0.000653,b'1.0'
-0.914,-0.919,b'-1.0'
1.41,0.0907,b'-1.0'
-0.639,0.522,b'1.0'
0.866,1.14,b'-1.0'
-1.78,-0.491,b'1.0'
0.391,-0.0901,b'1.0'
-1.27,0.184,b'1.0'
-1.08,-0.612,b'1.0'
-0.717,0.455,b'1.0'
-1.11,0.00172,b'1.0'
-1.51,-0.966,b'1.0'
-0.862,1.53,b'-1.0'
0.605,1.86,b'1.0'
-0.818,0.654,b'1.0'
-0.391,1.1,b'-1.0'
0.941,-0.254,b'1.0'
1.59,1.72,b'1.0'
-1.51,-1.16,b'1.0'
0.413,0.473,b'1.0'
-0.351,-1.0,b'-1.0'
1.68,0.113,b'-1.0'
-0.834,1.48,b'-1.0'
1.45,-0.507,b'-1.0'
-0.559,0.0594,b'1.0'
1.23,-0.0997,b'-1.0'
-0.0342,0.145,b'1.0'
-0.834,1.41,b'-1.0'
0.743,-1.01,b'1.0'
1.01,1.82,b'1.0'
0.191,-1.29,b'-1.0'
0.0543,-0.967,b'-1.0'
0.768,-1.25,b'1.0'
1.12,0.612,b'-1.0'
0.424,0.547,b'1.0'
1.29,-0.391,b'-1.0'
-0.612,-1.42,b'-1.0'
-0.201,0.287,b'1.0'
-0.779,1.09,b'-1.0'
0.44,0.246,b'1.0'
0.778,0.952,b'-1.0'
0.0179,-1.01,b'-1.0'
